"",SUID,GeneName,Betweenness,Stress,Degree,Radiality,Bridging,Centroid,Closeness,Eccentricity,EigenVector
0,62,RAD51AP2,0.0,0,1,2.179741807,0.0,-2013,0.000176,0.25,8.82e-05
1,63,MSH5,63.85018983,2720,62,3.019364449,4.661197299,-677,0.000251,0.333333333,0.004534969
2,64,SLC2A14,33.7559068,1144,38,2.994041708,6.273006798,-726,0.000248,0.333333333,0.002305272
3,65,SNURF,0.649857747,20,6,2.628599801,4.444259642,-1356,0.000209,0.25,0.000374
4,66,UBD,1449.382525,50870,252,3.117676266,6.446961105,-482,0.000264,0.333333333,0.015944226
5,67,SLC45A3,104.7487285,3092,67,3.019364449,5.377218414,-678,0.000251,0.333333333,0.003435673
6,68,SMPD4,270.4081564,11726,131,3.05958292,5.290139326,-599,0.000256,0.333333333,0.010139071
7,69,SNX25,1247.838378,58730,281,3.133565045,5.057446546,-450,0.000266,0.333333333,0.01878947
8,70,SMC1B,43.65902046,1088,39,2.937934459,5.399266799,-824,0.000241,0.333333333,0.002177092
9,71,POU5F1,106.545445,3314,68,3.023336643,6.090542619,-671,0.000251,0.333333333,0.004008511
10,72,DEFA1,0.252147315,18,5,2.668818272,3.876176731,-1281,0.000213,0.333333333,0.000421
11,73,TSPY1,19.59495676,350,16,2.84409136,11.11612776,-951,0.00023,0.333333333,0.000764
12,74,BHLHE41,162.0925334,4370,73,3.021847071,7.026417558,-670,0.000251,0.333333333,0.003694499
13,75,TEX15,90.17124597,3510,67,3.022840119,5.520054191,-670,0.000251,0.333333333,0.004471686
14,76,MTBP,284.0236426,11904,121,3.057100298,5.973618032,-604,0.000256,0.333333333,0.008487799
15,77,CLK1,715.1556419,35022,242,3.115193644,4.183666062,-487,0.000263,0.333333333,0.017135719
16,78,PMS2,516.6215334,24480,186,3.085402185,4.999386143,-547,0.000259,0.333333333,0.013631113
17,79,ADAT2,143.6651188,5452,81,3.032274081,6.27827391,-654,0.000252,0.333333333,0.005742098
18,80,ZNF221,60.36505247,1018,32,2.94041708,9.101124991,-808,0.000241,0.333333333,0.00127022
19,81,TTPAL,119.1311582,4674,77,3.030784508,5.965208834,-656,0.000252,0.333333333,0.005152659
